age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,major_por,WeekandEnd,WeirdDrinker
15,4,4,1,2,0,3,3,3,1,2,2,0.0,10,8,9,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1.0986122886681098,0
15,2,1,3,3,0,5,2,2,1,1,4,1.6094379124341005,10,12,12,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0.6931471805599453,0
15,4,4,1,1,0,4,3,3,1,3,5,1.0986122886681098,14,14,14,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1.3862943611198906,0
15,4,3,2,2,0,5,4,3,1,2,3,1.0986122886681098,10,10,11,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1.0986122886681098,0
15,2,2,1,3,0,4,5,2,1,1,3,0.0,14,16,16,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0.6931471805599453,0
16,4,4,1,1,0,4,4,4,1,2,2,1.6094379124341005,14,14,14,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1.0986122886681098,0
16,4,4,1,3,0,3,2,3,1,2,2,1.9459101490553128,13,14,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1.0986122886681098,0
16,3,3,3,2,0,5,3,2,1,1,4,1.6094379124341005,8,10,10,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0.6931471805599453,0
17,3,2,1,1,3,5,5,5,2,4,5,2.8332133440562166,6,5,5,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,2.19722457733622,0
16,4,3,1,1,0,3,1,3,1,3,5,1.6094379124341005,8,10,10,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1.3862943611198906,0
15,4,3,1,2,0,4,4,1,1,1,1,0.0,13,14,15,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0.6931471805599453,0
15,4,4,1,1,0,5,4,2,1,1,5,0.0,12,15,15,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0.6931471805599453,0
16,4,2,1,2,0,4,5,1,1,3,5,1.0986122886681098,15,15,16,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1.3862943611198906,0
16,2,2,2,2,0,5,4,4,2,4,5,0.0,13,13,12,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,2.19722457733622,0
15,2,4,1,3,0,4,3,2,1,1,5,1.0986122886681098,10,9,8,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0.6931471805599453,0
16,2,2,1,1,2,1,2,2,1,3,5,2.7080502011022096,6,9,8,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1.3862943611198906,0
15,2,2,1,1,0,4,2,2,1,2,5,1.0986122886681098,12,12,11,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1.0986122886681098,0
15,4,2,1,1,0,2,2,4,2,4,1,1.6094379124341005,15,16,15,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,2.19722457733622,0
16,3,4,1,2,0,5,3,3,1,1,5,1.6094379124341005,11,11,11,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0.6931471805599453,0
16,4,4,1,2,0,4,4,5,5,5,5,2.8332133440562166,10,12,11,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,3.258096538021482,0
15,4,4,1,2,0,5,4,2,3,4,5,0.0,9,11,12,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,2.5649493574615367,0
15,4,4,2,2,0,4,3,1,1,1,5,0.0,17,16,17,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0.6931471805599453,0
15,4,3,1,2,0,4,5,2,1,1,5,0.0,17,16,16,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0.6931471805599453,0
15,3,3,1,2,0,5,3,2,1,1,2,0.0,8,10,12,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0.6931471805599453,0
16,3,2,1,1,0,5,4,3,1,1,5,0.0,12,14,15,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0.6931471805599453,0
15,2,3,2,1,0,3,5,1,1,1,5,0.0,8,7,6,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0.6931471805599453,0
15,4,3,1,3,0,5,4,3,1,1,4,1.0986122886681098,15,16,18,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0.6931471805599453,0
16,4,4,2,3,0,2,4,3,1,1,5,2.0794415416798357,15,16,15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0.6931471805599453,0
15,3,4,1,3,0,4,3,2,1,1,5,1.0986122886681098,12,12,11,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0.6931471805599453,0
15,2,2,1,1,0,4,3,1,1,1,2,2.19722457733622,14,13,13,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0.6931471805599453,0
16,2,2,2,2,1,3,3,3,1,2,3,3.258096538021482,7,10,11,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1.0986122886681098,0
15,4,4,1,1,0,5,4,3,2,4,5,2.19722457733622,12,12,12,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,2.19722457733622,0
15,4,4,1,2,0,4,3,3,1,1,5,1.0986122886681098,19,18,18,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0.6931471805599453,0
15,2,2,1,1,0,5,4,1,1,1,1,0.0,8,8,11,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0.6931471805599453,0
16,2,2,2,2,1,4,3,3,2,2,5,2.7080502011022096,10,10,9,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1.6094379124341005,0
15,4,3,1,2,0,5,2,2,1,1,5,2.19722457733622,8,8,6,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0.6931471805599453,0
16,3,3,1,2,0,2,3,5,1,4,3,2.5649493574615367,11,12,11,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1.6094379124341005,0
16,4,3,1,4,0,4,2,2,1,1,2,1.6094379124341005,19,19,20,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0.6931471805599453,0
15,4,2,1,2,0,4,3,3,2,2,5,1.0986122886681098,15,15,14,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1.6094379124341005,0
15,4,4,1,2,1,4,4,4,1,1,3,1.0986122886681098,7,7,7,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0.6931471805599453,0
16,2,2,3,2,0,4,3,3,2,3,4,1.0986122886681098,12,13,13,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1.9459101490553128,0
15,4,2,1,2,0,4,3,3,1,1,5,1.0986122886681098,11,13,13,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0.6931471805599453,0
15,4,2,2,1,1,5,5,5,3,4,5,1.9459101490553128,11,11,10,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2.5649493574615367,0
15,4,4,1,1,0,3,3,4,2,3,5,0.0,8,10,11,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1.9459101490553128,0
15,3,3,1,1,0,5,3,4,4,4,1,1.9459101490553128,10,13,13,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,2.8332133440562166,0
16,2,1,1,2,0,5,3,4,1,1,2,2.19722457733622,8,9,10,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0.6931471805599453,0
15,4,3,1,2,0,4,3,2,1,1,1,0.0,14,15,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0.6931471805599453,0
15,4,4,1,2,0,3,2,2,1,1,5,1.6094379124341005,14,15,15,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0.6931471805599453,0
15,1,2,1,2,0,4,3,2,1,1,5,1.0986122886681098,9,10,9,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0.6931471805599453,0
16,4,2,1,2,0,4,2,3,1,1,5,1.0986122886681098,15,16,16,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0.6931471805599453,0
16,4,4,1,2,0,2,4,4,2,3,4,1.9459101490553128,10,11,11,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1.9459101490553128,0
16,1,1,4,1,0,5,5,5,5,5,5,1.9459101490553128,10,8,11,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,3.258096538021482,0
16,1,2,1,2,0,4,4,3,1,1,1,1.6094379124341005,8,10,9,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0.6931471805599453,0
16,4,3,1,3,0,3,4,4,2,4,4,1.0986122886681098,10,9,9,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,2.19722457733622,0
15,4,3,1,2,0,4,4,4,2,4,2,0.0,10,10,10,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,2.19722457733622,0
16,4,3,3,2,0,5,4,3,1,2,1,1.0986122886681098,16,15,15,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1.0986122886681098,0
15,4,4,1,4,0,1,3,3,5,5,3,1.6094379124341005,13,13,12,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,3.258096538021482,0
16,3,1,1,4,0,4,3,3,1,2,5,1.6094379124341005,7,7,6,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1.0986122886681098,0
15,2,2,2,2,0,4,1,3,1,3,4,1.0986122886681098,8,9,8,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1.3862943611198906,0
15,3,1,2,4,0,4,4,2,2,3,3,2.5649493574615367,16,16,16,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.9459101490553128,0
16,3,1,2,4,0,4,3,2,1,1,5,0.0,13,15,15,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0.6931471805599453,0
15,4,2,1,4,0,3,3,3,1,1,3,0.0,10,10,10,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0.6931471805599453,0
15,1,1,1,2,2,3,3,4,2,4,5,1.0986122886681098,8,6,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,2.19722457733622,0
16,3,1,1,1,0,5,3,2,2,2,5,1.0986122886681098,12,12,14,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1.6094379124341005,0
16,3,3,1,2,0,4,3,3,2,4,5,4.007333185232471,11,12,11,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,2.19722457733622,0
15,4,3,1,2,0,4,3,3,2,3,5,1.9459101490553128,9,9,10,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1.9459101490553128,0
15,4,0,2,4,0,3,4,3,1,1,1,2.19722457733622,11,11,10,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.6931471805599453,0
16,2,2,1,4,0,5,2,3,1,3,3,0.0,11,11,11,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1.3862943611198906,0
17,2,1,2,1,3,4,5,1,1,1,3,1.0986122886681098,8,8,10,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0.6931471805599453,0
16,3,4,1,2,0,2,4,3,1,2,3,2.5649493574615367,5,5,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1.0986122886681098,0
15,2,3,1,1,0,3,2,2,1,3,3,1.0986122886681098,10,12,12,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1.3862943611198906,0
15,2,3,1,3,0,5,3,2,1,2,5,1.6094379124341005,11,10,11,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1.0986122886681098,0
15,3,2,1,2,0,4,4,4,1,1,5,2.3978952727983707,7,6,6,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0.6931471805599453,0
15,2,2,2,2,0,5,3,3,1,3,4,1.6094379124341005,15,15,15,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1.3862943611198906,0
15,1,1,1,2,0,4,3,2,2,3,4,1.0986122886681098,9,10,10,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1.9459101490553128,0
15,4,4,2,2,2,4,4,4,2,3,5,1.9459101490553128,7,9,8,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1.9459101490553128,0
16,2,2,1,2,0,4,3,4,1,2,2,1.6094379124341005,8,7,6,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.0986122886681098,0
15,4,2,1,3,0,5,3,3,1,3,1,1.6094379124341005,13,14,14,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1.3862943611198906,0
16,2,2,2,2,1,4,4,2,1,1,3,2.5649493574615367,11,10,10,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0.6931471805599453,0
16,4,4,1,2,0,4,1,3,3,5,5,2.9444389791664403,8,6,7,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,2.772588722239781,0
16,3,3,1,3,0,4,3,3,1,3,4,0.0,7,7,8,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1.3862943611198906,0
15,4,3,1,1,0,4,5,5,1,3,1,1.6094379124341005,16,17,18,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1.3862943611198906,0
16,3,1,1,2,0,3,3,3,2,3,2,1.6094379124341005,7,6,6,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1.9459101490553128,0
16,4,2,2,2,0,5,3,3,1,1,1,0.0,11,10,10,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0.6931471805599453,0
15,2,2,1,4,0,4,3,4,1,1,4,1.9459101490553128,11,13,14,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0.6931471805599453,0
15,1,1,2,4,1,3,1,2,1,1,1,1.0986122886681098,7,10,10,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0.6931471805599453,0
16,4,3,2,1,0,3,3,3,1,1,4,1.0986122886681098,11,15,15,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0.6931471805599453,0
16,2,1,1,2,0,4,3,5,1,1,5,1.0986122886681098,8,9,10,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0.6931471805599453,0
16,4,4,1,1,0,5,3,4,1,2,1,1.9459101490553128,11,14,14,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1.0986122886681098,0
16,4,3,1,3,0,5,3,5,1,1,3,0.0,7,9,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0.6931471805599453,0
16,4,4,1,1,0,4,5,5,5,5,4,2.7080502011022096,7,7,5,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,3.258096538021482,0
16,4,4,1,3,0,4,4,3,1,1,4,0.0,16,17,17,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0.6931471805599453,0
15,4,4,1,1,0,5,3,3,1,1,5,1.6094379124341005,10,13,14,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0.6931471805599453,0
15,3,2,2,2,0,4,3,5,1,1,2,3.2958368660043287,7,6,6,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0.6931471805599453,0
15,3,4,1,2,0,5,4,4,1,1,1,0.0,16,18,18,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0.6931471805599453,0
15,3,3,1,4,0,4,3,3,1,1,4,2.3978952727983707,10,11,11,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0.6931471805599453,0
15,2,2,1,4,0,5,1,2,1,1,3,2.19722457733622,7,8,8,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0.6931471805599453,0
16,3,3,1,3,0,5,3,3,1,1,5,1.0986122886681098,16,18,18,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0.6931471805599453,0
15,4,4,4,4,0,1,3,5,3,5,1,1.9459101490553128,10,13,13,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,2.772588722239781,0
16,4,4,1,3,0,5,4,5,1,1,4,1.6094379124341005,14,15,16,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0.6931471805599453,0
15,4,4,1,1,0,5,5,3,1,1,4,1.9459101490553128,18,19,19,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0.6931471805599453,0
16,3,3,1,3,1,4,1,2,1,1,2,0.0,7,10,10,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.6931471805599453,0
16,2,2,1,2,1,3,1,2,1,1,5,1.9459101490553128,10,13,13,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0.6931471805599453,0
15,4,2,1,1,0,3,5,2,1,1,3,2.3978952727983707,18,19,19,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0.6931471805599453,0
15,2,1,1,2,0,5,4,2,1,1,5,2.19722457733622,9,9,9,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0.6931471805599453,0
16,4,4,1,2,0,5,4,4,1,2,5,1.0986122886681098,15,15,16,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1.0986122886681098,0
15,4,4,2,2,0,4,4,3,1,1,2,1.0986122886681098,11,13,14,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0.6931471805599453,0
16,3,3,2,1,0,5,4,2,1,1,5,0.0,13,14,13,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0.6931471805599453,0
17,1,3,3,2,1,5,2,4,1,4,5,3.0445224377234235,9,7,8,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1.6094379124341005,0
15,3,4,1,1,0,3,4,3,1,2,4,1.9459101490553128,14,13,13,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1.0986122886681098,0
15,1,2,1,2,0,3,2,3,1,2,1,1.0986122886681098,16,15,15,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.0986122886681098,0
15,2,2,1,4,0,5,5,4,1,2,5,1.9459101490553128,16,14,15,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1.0986122886681098,0
16,2,4,2,2,0,4,2,2,1,2,5,1.0986122886681098,13,13,13,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1.0986122886681098,0
16,4,4,1,1,0,3,4,4,1,4,5,2.9444389791664403,14,11,13,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1.6094379124341005,0
16,2,2,1,2,0,5,4,4,1,1,5,0.0,8,7,8,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0.6931471805599453,0
15,3,4,1,1,0,5,5,5,3,2,5,0.0,13,13,12,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1.9459101490553128,0
15,3,4,1,2,0,5,3,2,1,1,1,0.0,7,10,11,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0.6931471805599453,0
19,0,1,1,2,3,3,4,2,1,1,5,1.0986122886681098,7,8,9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.6931471805599453,0
18,2,2,1,1,2,3,3,3,1,2,4,0.0,7,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1.0986122886681098,0
16,4,4,1,1,0,3,5,5,2,5,4,2.19722457733622,18,18,18,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,2.3978952727983707,0
15,3,4,2,3,2,4,2,2,2,2,5,0.0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1.6094379124341005,0
